Resistance,Temparature
0.00000000,0.46144500
0.00000000,0.45837980
0.00000000,0.46072610
0.00000000,0.46327100
0.00000000,0.45948780
0.00000000,0.45930680
0.00000000,0.46024880
0.00000000,0.45886720
0.00000000,0.45868280
0.00000000,0.45589690
0.00000000,0.45693980
0.00000000,0.46175010
0.00000000,0.46096320
0.00000000,0.46339580
0.00000000,0.45831410
0.00000000,0.46000660
0.00000000,0.45683150
0.00000000,0.45859290
0.00000000,0.45997310
0.00000000,0.45701140
